Review,Cơ sở vật chất#Chất lượng,Cơ sở vật chất#Khác,Cơ sở vật chất#Không gian,Cơ sở vật chất#Vệ sinh,Nhân viên y tế#Chất lượng,Nhân viên y tế#Khác,Nhân viên y tế#Thái độ,Trải nghiệm chung#Chất lượng,Trải nghiệm chung#Giá,Trải nghiệm chung#Khác,Trải nghiệm chung#Không gian,Trải nghiệm chung#Thái độ,Trải nghiệm chung#Vệ sinh
Bệnh viện tốt nhất phía Nam.,0,1,0,0,0,0,0,0,0,0,0,0,0
Dịch vụ kém,0,0,0,0,0,0,0,0,0,2,0,0,0
"Bửa trc e từ quê lên ĐHYD khám mà mấy a giữ xe chỉ đi wa bên dịch vụ tư cho nhanh, nên kết quả tới bv mà cũng chưa đc vô cái cổng, bên tư khám thì nhanh còn tốt ko thì e ko biết.",0,2,0,0,0,0,0,0,0,0,0,0,0
"Cán bộ bệnh viện nhiệt tình, tận tâm",0,0,0,0,0,0,0,0,0,0,0,1,0
"Mọi thứ ổn. Nhân viên nhanh, nhiệt tình với khách",0,0,0,0,1,0,1,1,0,0,0,0,0
Bác sĩ tư vấn nhiệt tình. Nhân viên giúp đỡ tận tình và giải đáp được thắc mắc của khách hàng,0,0,0,0,1,0,1,0,0,0,0,1,0
Cảm ơn bác sĩ huy và ekip,0,0,0,0,0,1,0,0,0,0,0,0,0
Chờ đợi mõi mòn,0,0,0,0,0,0,0,0,0,2,0,0,0
Bác Sĩ Khải và y tá Thảo làm rất tốt,0,0,0,0,1,0,0,0,0,0,0,0,0
"Nhân vien thân thiện, thủ tục nhanh chóng.
Bảo vệ trông xe nhưng không dắt xe cho khách mà chỉ ngồi chơi game. 😐",0,0,0,0,0,2,1,0,0,1,0,0,0
"Hôm nay mẹ tôi có vào bệnh viện nhân dân Gia Định để nuôi bệnh ngoại tôi và gặp một chuyện cực kì bức xúc với nhân viên bãi xe tại bệnh viện nhân dân Gia Định và chuyện là:

-Bãi xe giữ xe không có giá cố định, thu phí 14k 1 chiếc có khi nữa buổi 6k có khi 14k. Di dời xe của khách xong khách tìm không được nhờ hỗ trợ thì nhân viên bãi xe nói câu: "" chị nói chuyện mắc cười quá xe chị thì chị tự tìm"" Mẹ tôi có nói lại là bãi xe của mấy anh tôi vào để xe đúng nơi quy định các anh di dời tôi tìm không ra thì các anh phải hỗ trợ tôi chứ. Vậy mà nhân viên bãi xe lại chửi tục mắng nhiếc với người bằng tuổi mẹ mình và còn nói ngày mai đi chỗ khác mà gửi. Thật sự mà nói ở một nơi mà để người bệnh đến để được điều trị khám bệnh, nuôi bệnh và chữa bệnh lại phải bị những con người có thái độ cư xử vô lễ nhục mạ như vậy. Con người thiếu kiến thức có thể chấp nhận được nhưng còn con người mà thiếu đạo đức thì chỉ có xuống đáy xã hội sống chung với anh nào đó nuốt donate 400 củ khoai thôi.

Sau cùng mong bệnh viện nhân dân Gia Định có thể xem xét lại đội ngũ giữ xe để công dân có thể yên tâm gửi gấm tài sản phương di chuyển của bản thân để có thể vào bệnh viện khám bệnh trị bệnh, nuôi bệnh và chữa bệnh. Xin chân thành cảm ơn.",0,0,0,0,0,0,2,0,0,0,0,0,0
Bệnh viện tuyến 1 về hô hấp,0,0,0,0,0,0,0,1,0,0,0,0,0
nhổ răng khẩu không chuẩn,0,0,0,0,0,0,0,0,0,2,0,0,0
tuyệt vời lun nha,0,0,0,0,0,0,0,0,0,1,0,0,0
"Vừa rồi 2 anh em tôi vào bệnh viện khám và mỗ mắt đục thủy tinh thể, mặc dầu từ Nha Trang vào trái tuyến BHYT nhưng nhân viên và Bác sỹ ở đây khám và tư vấn rất nhiệt tình, làm việc rất chuyên nghiệp. Chấp nhận yêu cầu chọn Bác Sỹ mỗ . Mỗ về mắt rất tốt từ người không thấy giờ nhìn thấy, không có hạnh phúc nào hơn. Khi thực hiện mỗ xong mừng quá đi ra phòng phẫu thuật mà quên cả cám ơn, nay viết lên đây xin chân thành cám ơn Bác Sỹ Nguyễn Đỗ Nguyên người thực hiện ca phẫu thuật mắt cho 2 anh em tôi và toàn bộ các y bác sỹ nhân viên bệnh viện mắt thành phố Hồ Chí Minh.BỆNH NHÂN : Lê Tây và Lê Bình. cư ngụ NHA TRANG, KHÁNH HOÀ.",0,0,0,0,0,0,1,0,0,0,0,0,0
"Chán thiệt sự. Bệnh viện thì to, đội ngũ nhân viên thì đông mà tác phong làm việc lề mề. Nhiều khi nói hơi thô nhưng thật sự thái độ của các cô chú Nhân viên Dọn dẹp còn cao hơn cả mấy chị đại Bác sĩ, Y tá ấy! Tôi đang nói đến Khoa Răng đấy ạ! Chả hiểu sao trong cái phòng khám răng đến quầy tiếp nhận hồ sơ chỉ được 1-2 người là thái độ đàng hoàng, còn lại là kiểu “tao nói rồi, m nhổ đi”, đồng ý là khuyên nhưng làm ơn làm phước hét lên chi vậy mấy má? Người già mấy bà cũng hét nữa thì tôi chịu! Trình độ có hơn người khác đi chăng nữa cũng phải biết kính trên nhường dưới với chứ? Thôi tôi đến chịu với cái cô lùn lùn trong phòng tiểu phẫu thì phải! Thôi bye nhớ! Làm ăn có tâm dùm đi má, người ta vào khám có trả tiền! Tiền đó tiền lương cho mấy người đó =))))",0,0,1,0,1,0,0,0,0,0,0,2,0
"Dịch vụ tốt, bác sĩ tư vấn tận tình, nhẹ nhàng",0,0,0,0,0,0,1,1,0,0,0,0,0
"Mọi thứ rất tốt vì đã cải thiện hơn xưa , nhưng họ nên hiểu hoặc thông cảm cho 1 số nhóm bệnh nhân "" trước giờ vẫn ăn to nói lớn "" , nhiều bác sĩ tưởng bị lớn tiếng",0,0,0,0,0,0,1,1,0,0,0,0,0
"Khám mấy lần trước Ok. Bs giỏi. Còn 1 lần gần đây dắt cháu mình đi khám, em dâu mình nói gặp 1 bs nam nào cũng ko trẻ mà nói chuyện quạu quọ,bắt bẽ thấy ghê. Với hôm nay khám gặp ngay con mẹ nhân viên tiếp nhận bệnh, 1 bên mí mắt trái có sẹo. Nói chuyện như cái gì, cái kiểu xem thường, bất cần và hỏi mà trả lời kiểu trịch thượng như bả là cái rốn của bv này.  Đã ko đẹp thì nói chuyện có duyên,lịch sự ngta còn nể. Cái kiểu ko vui thì đừng làm. Kiếm việc vui khác mà làm.Đã vậy nhìn con bé mặc đầm, nữ tính đàng hoàng ghi là nam,còn tên mẹ ghi cũng sai. Khó ưa mà tới nổi ko muốn gặp mặt lần 2 để chỉnh sửa gì hết.Kệ bà luôn. Gặp ngay mụ ba lơn, chán.",0,0,0,0,2,0,2,1,0,0,0,0,0
"Bệnh viện tốt, lúc nào cũng đông nên chờ lâu, nên đặt cuộc hẹn trước khi đến",0,0,2,0,0,0,0,1,0,0,0,0,0
"Dịch vụ ok. Các chú bảo vệ rất dễ thương, tận tình. Giáo sư tư vấn kỹ, giỏi",0,0,0,0,1,0,1,1,0,0,0,0,0
"Bệnh viện có đội ngũ y bác sĩ, nhân viên y tế hùng hậu. Trang thiết bị hiện đại, tiên tiến. Cơ sở vật chất mới và rất sạch sẽ. Xứng ngang khách sạn 4 sao cả về chất lượng phục vụ lẫn giá tiền. Chế độ ăn uống của bệnh nhân được quản lý nghiêm ngặt và tuân thủ nguyên tắc, khá vừa khẩu vị người Việt, còn bệnh nhân nước ngoài chắc nuốt không nổ vì đồ ăn như ngoài tiệm cơm bình dân 20k. Thái độ chăm sóc bệnh nhân rất tốt.",1,0,0,1,0,1,0,1,0,0,0,1,0
Đưa nhiêu tiền ứng hết bấy nhiêu kh hồi đáp,0,0,0,0,0,0,0,0,0,2,0,0,0
"Bác sĩ quá dở, thuốc hơi mắc số với bên ngoài, mình khám bên trong bv chưa hết, ra ngoài tiệm thuốc tây mua khoảng nửa số tiền hôm nọ khám xong hết.",0,0,0,0,0,2,0,0,2,0,0,0,0
"- Nên đi sớm lấy số hoặc đăng ký lịch khám online từ trước.
- Các anh bảo vệ cũng như bàn tư vấn hướng dẫn nhiệt tình.
- Khám tổng quát cỡ 2tr5.
- Kinh nghiệm là có phiếu khám là đi 1 lượt lấy số thứ tự, chịu khó chạy đi chạy lại xem chỗ nào sớm thì vô khám, ko nên ngồi 1 chỗ đợi. Mình khám tổng quát mà đi sáng tới trưa là xong, ko rành chắc tới chiều.",0,0,0,0,0,0,1,0,3,2,0,1,0
"hiểu vấn đều bệnh lâu năm nên cũng không mong đợi Mỹ quan cũng như trang thiết bị. Nhưng thái độ làm việc của các Y Tá Bác Sĩ cực kì KÉM.
Một số người tin tưởng bênh viện mới đến lần đầu chưa biết quy trình của bệnh viện khi hỏi các Y tá cực kỳ khó chịu.

Khi nhận kết quả kiểm tra kèm theo số tiền đóng, người nhà chưa kịp xem kết quả thì Y tá nói với thái độ cực kỳ cọc cằn “ ký lẹ đi nhìn nhìn cái gì không biết” rồi còn giật tờ giấy, rồi khi trả giấy đập xuống bàn.

Khi vào cấp cứu không hỏi bệnh nhận cảm thấy đau ở đâu hay không ổn chỗ nào ( vì bệnh nhân còn tỉnh táo). Mà lại hỏi người nhà trong tình thế hối thúc.

Hy vọng với đội ngũ y bác sĩ không những giỏi về chuyên môn để chữa bệnh giúp người mà còn có tâm với nghề để xứng đáng với sứ mệnh và sự tôn kính của mọi người đối với mình.",0,0,0,0,2,0,2,0,0,0,0,0,0
Bv nhi dong 2 qua tệ. K biết những khoa khat nhu thế nào. Chứ minh thấy khoa bỏng chỉnh hjnh.qua tệ. Từ tập vụ cho tới  hộ ly điều dưỡng từ trẻ cho tới già.  Moi người nói chuyện giống như la vô học . Chửi bới người nhà bệnh nhân như là người ăn kẻ ở.  Trong khi đó con chúng tôi bệnh chúng tôi mới tới đây.  Ma tới đây vẫn đóng tiền mà đâu có đi xin.. zậy  mà  mỗi lần khám bệnh hay chít thuot . Họ tỏ thái độ bực bội.  Co khi người nhà k biết lại phòng hành chánh  hỏi thì  bị mấy cô phán cho một câu la . Dốt k biết chữ hả.  Tại sao cac cô có học làm ơ bv lớn mà  ăn nói như ở trong rừng mới ra. Đề nghi cán bộ các cấp.  Va bộ y tế  chỉnh đốn lại vì rất nhiều người quá bức xúc.  Xin cảm ơn. Minh quên  nói thêm là  bv lớn như zậy mà k có chỗ phơi đồ.  Mỗi lần phơi là bị mất hết.  Người ta nghèo khổ .có mấy bộ đồ  phơi điều mất hêt.nieu các bạn k tin thì có thể trực tiếp xuống khoa bỏng mà hỏi lai.k phai một người bị mất đồ.  Ma là nhiều người mất. Chúng tui cũng mong các a chị tim hiểu va lam ra lẽ dùm chúng tôi. Bắt hết mấy người tham lam để chúng tôi phải lo lắng khi phơi đồ. Xin cảm ơn.,2,0,0,0,0,0,2,0,0,0,0,0,0
"Bệnh viện khá ok,  nhưng có cái chờ lấy thuốc lâu quá lâu",1,0,0,0,0,0,0,0,0,2,0,0,0
"Rất đông, dù đã đặt lịch trước khi đến nhưng vẫn phải chờ. Về tay nghề bác sĩ thì không vấn đề gì.",0,0,0,0,3,0,0,0,0,2,2,0,0
"Bệnh viện Gia Định lâu đời nằm ở ngã 3 Phan Đăng Lưu - Nơ Trang Long, đối diện Đại học Mỹ Thuật TPHCM và trường THCS Hà Huy Tập.
Đây là bệnh viện tuyến thành phố nên lượng bệnh nhân rất đông. Do đông quá nên không tránh khỏi tình trạng quá tải nên tâm lý các y bác sỹ, y tá cũng căng thẳng, mọi người nên thông cảm cho họ.
Trình độ chuyên môn của các y bác sỹ và y tá ở đây thì khỏi bàn luôn nhé, họ rất giỏi và lành nghề. Viện phí thì khá ổn, không quá cao vì là bệnh viện của nhà nước.
Hiện bệnh viện đang tu sửa và nâng cấp thêm mặt bằng nên hơi chật",0,0,0,0,1,0,0,0,0,0,0,0,0
"vị trí khu trung tâm dễ tìm kiếm
không gian rộng rãi, có bãi đậu xe, có bảo vệ
bệnh viện sáng sủa và sạch sẽ
mình đi khám sức khỏe do công ty chỉ định, may mắn là ngày mình đi không quá đông
nhân viên bệnh viện hướng dẫn rõ ràng, có tư vấn kỹ đặc biệt là khoa da liễu và răng hàm mặt
nên vào khám răng và khoa ngoại đầu tiên",0,0,1,1,1,0,0,0,0,1,0,0,0
"Bác sĩ là nghề phụ thôi, nghề chính là họa sĩ",0,0,0,0,2,0,0,0,0,0,0,0,0
"Bệnh viện quả tải, bệnh nhân nằm đầy ngoài hành lang, phòng dịch vụ mà đến cái ổ cắm điện không có, nhắc đến phòng thường thì ôi thôi.",0,0,2,0,0,0,0,0,0,0,0,0,0
Nhân viên lễ tân làm hồ sơ khám bệnh giao tiếp quá tệ vào khám mất tiền mà làm như mình đi xin,0,0,0,0,0,0,2,0,0,0,0,0,0
Bệnh viện có một số cô hộ lý rấy dễ thương nhưng mà cần phải chấn chỉnh lại thái độ tiếp đãi đối với bệnh nhân của nhân viên lẫn cán bộ y tế,0,0,0,0,0,0,1,0,0,0,0,0,0
Quá tải. Khá là đông và đợi rất lâu,0,0,0,0,0,0,0,0,0,2,2,0,0
"Tuy lúc đi khám vào giờ cao điểm từ 9h, rất đông người nhưng cách họ xử lý công việc rất chuyên nghiệp, một số khách hàng đôi lúc hỏi chuyện người ngoài nghe hơi cáu thật nhưng nhân viên vẫn xử lý rất tốt. Bảo vệ thường xuyên nhắc nhở mọi người cẩn thận móc túi và biết cách sắp xếp không gian hợp lý. Các bác sĩ khám khúc xạ khám rất chuyên nghiệp, kể cả bên khâu cắt kính cũng rất chính xác (ở một số phòng khám nhỏ khám mắt đúng tuy nhiên cắt kính thường hay sai độ loạn). Giá khám khúc xạ rất ưu đãi. Mình khám ngày 01/07, có ưu tiên cắt kính cho người ở xa. Mình thấy có một số đánh giá 3 sao cho rằng một số chỗ cần được cải thiện và mình nghĩ rằng họ đã cải thiện được một số chỗ đáng lưu ý đó, mong bệnh viện luôn giữ được phong độ và tay nghề chuyên nghiệp luôn đáp ứng được nhu cầu khách hàng như thế này.",0,0,0,0,1,1,0,0,1,0,0,0,0
"Bệnh viện trực thuộc Bộ Quốc Phòng có khám Bảo hiểm y tế với trang bị máy móc hiện đại. Đội ngũ nhân viên y tế trẻ và năng động. Rất đáng để người dân trong địa bàn quận Gò Vấp nói riêng và Tphcm nói chung đến trải nghiệm chất lượng dịch vụ.
Cùng với Viện Chấn Thương Chỉnh Hình trực thuộc BVQY 175 đang trong giai đoạn hoàn thiện. Và Bệnh viện Quân Y 175 đang khởi công xây dựng lại.  Sau khi xây xong mô hình Viện trong Viện sẽ giảm tải áp lực khám chữa bệnh cho Viện CTCH Trần Hưng Đạo nói riêng. Cũng như nhu cầu khám chữa bệnh các chuyên khoa khác trong địa bàn thành phố HCM và khu vực lân cận.
Rất đáng mong đợi!!!",1,0,0,0,1,0,0,0,0,0,0,0,0
"Chất lượng thì tạm được nhưng phục vụ ở đây thì hơi tệ. Bảo vệ thì không nói chứ điều dưỡng với lao công quá mất nết. Nằm dịch vụ 1 ngày 1 triệu mà nói năng với bệnh nhân như người ăn kẻ ở. Cảm giác như bệnh nhân ở đây như đang đi ở đợ vậy. Vật tư cũ kỹ. Bù lại có Quang cảnh mát mẻ, cây xanh nhiều..",0,0,1,0,2,0,2,3,0,0,0,0,0
"Bệnh viện bác sĩ gì đâu con tôi bị rối loạn tiêu hoá mà chuẩn đoán đưa vào khoa nội cho truyền kháng sinh test đủ thứ nằm 2 tuần lễ chụp cản quang xem kết quả không có gì cho về  bảo sau này bị tiêu hoá kêu chuyển qua khoa ngoại tiêu hoá, trong khi đó tôi và người nhà đã bảo cháu nó tự đi phân bình thường không cần phải hỗ trợ, mà bác sĩ có nghe đâu nhóc mới có 3 tháng tuổi mà chọc hậu môn thấy bà luôn, gặp thêm ngay điều dưỡng không vui nữa bữa chọc nhóc đau la quá trời. Nói chung cũng có mặt tốt và mặt tệ, mà tệ hơn bác sĩ cứ làm theo quy trình không lắng nghe ý kiến của người nhà của bé. Bộ phận thanh toán viện phí là nơi mệt mỏi nhất…",0,0,0,0,0,2,2,0,0,0,0,0,0
"Phòng,  lối đi, nhà vệ sinh sạch sẽ, đội ngũ điều dưỡng, y tá chuyên nghiệp, nhẹ nhàng với bệnh nhân. Cảm ơn bv đh y dược rất nhiều",0,0,0,1,1,0,1,0,0,0,0,0,0
"Không gian rộng rãi thoáng mát, có khu vui chơi trẻ em, đi thăm bệnh mà cứ như nghỉ dưỡng, toàn thấy mấy đứa con nít vui chơi mà chúng nó vẫn không biết là mình đang bệnh mấy tội",0,0,0,0,0,0,0,1,0,0,1,0,0
Bệnh viện đội ngũ bác Sĩ làm việc chậm rã không tận tâm . Vừa làm vừa sửa chữa xây dựng không đảm bảo vệ sinh .thật là vô trách nhiệm .,0,0,0,0,0,0,2,0,0,0,0,0,0
"Đóng tiền đi xét nghiệm máu lầu 2 hơn 1 tiếng chưa được gọi tên...con sốt, con ói, nhịn ăn nhịn uống không dám ăn uống vì sợ không xét nghiệm máu được. Mong bệnh viện sớm cải thiện.",0,0,0,0,0,0,0,0,0,2,0,0,0
"Mình đo khúc xạ nhiều lần ở đây nên cũng biết trước qui trình. Có sẵn sổ khám mắt thì nộp ở quầy rồi đóng 40k. Ai chưa có sổ thì mua rồi điền thông tin. Quầy đóng tiền có chú bảo vệ hướng dẫn rất nhiệt tình. Đóng tiền xong qua ghế ngồi đợi đến số thứ tự của mình. Mình đi ngày thường nên ko đông lắm, được bs Ngọc Nhung khám rất kỹ , thái độ vui vẻ, chuyên nghiệp. Đo xong cầm sổ ra đưa ngta ghi đơn kính. Chị này ko thân thiện ,mặt chằm bằm. mình nói lấy tròng phản quang (390k )mà ghi thành tròng thường(170k). Mọi người nên dò lại thông số trên đơn kính với thông số mà bs ghi trong sổ. Khuyên ko nên đi t7 cn vì rất rất đông, bs khám rất qua loa.",0,0,0,0,1,0,0,0,0,0,0,1,0
"Cơ sở tốt, là tuyến đầu y tế  của miền nam",1,0,0,0,0,0,0,0,0,0,0,0,0
Tôi khám ở đây 3 lần trong 1 tháng.gặp 3 bs khác nhau và chẩn đoán 3 bệnh khác nhau nhưng cả 3 lần uống thuốc đều k đỡ.,0,0,0,0,2,0,0,0,0,0,0,0,0
"Trước khi đến đây khám bệnh hoặc các bệnh viện lớn trên TpHCM thì mọi người tra tìm cách đặt lịch khám để thuận tiện và đỡ mất thời gian đợi làm thủ tục. Trước tiên, khi chạy đến gần bệnh viện thì mọi người chạy thẳng vào cổng luôn nha, vì bãi xe bệnh viện nằm phía trong luôn, đừng nghe lời chèo kéo của bất kì ai phía trước cổng. Khi để xe xong, mọi người lên khu vực tiếp nhận đăng kí khám, có 1 quầy là hỗ trợ các bạn đặt lịch online - kế bên có 1 trụ, các bạn thao tác để lấy STT để đến quầy thanh toán phí đăng kí khám (dành cho bạn chưa đăng kí online) - nhớ thao tác đúng và nhìn kĩ trong phiếu số quầy - STT nha. Nếu bạn khám lần đầu thì đi thêm vài bước đến quầy bán sổ nha, 5 cành 1 cuốn. Điền thông tin, ngồi đợi đến số thì đóng tiền. Sau khi đóng xong, nhân viên tại quầy đó sẽ hướng dẫn các bạn đến số phòng khám của bạn. Mình đăng kí khám theo yêu cầu, đi vào trưa xế, không quá đông, đợi hơi lâu xí thôi, chứ mình khám lẹ 5 phút là xong. Bác sĩ tư vấn nhẹ nhàng, lịch sự. Kế tiếp, mọi người ra quầy mua thuốc (nếu BS có kê đơn) nộp sổ vào rổ, ngồi nhìn vào màn hình TV để biết STT của bạn và chuẩn bị tổng tiền cần thanh toán. Thanh toán xong, các bạn quay về ghế ngồi đợi theo STT trên bảng led ngay quầy phát thuốc kế bên nha. Số được in bự, dễ nhìn trên phiếu vừa thu tiền của bạn. Phí gửi xe là 4 cành. Chúc mọi người có trải nghiệm tốt ở đây nhé !!!",0,0,0,0,0,0,2,0,0,0,0,0,0
"Nhân viên rất nhiệt tình, vui vẻ, khám nhanh, chất lượng cao",0,0,0,0,1,1,1,0,0,0,0,0,0
bác sĩ rất giỏi,0,0,0,0,1,0,0,0,0,0,0,0,0
"Nhân viên bảo vệ lúc vào cổng rất cáu gắt thích nạt người khác nhất là mấy người nào già già. Các nhân viên điều dưỡng thì bà cố nội người ta luôn rồi , nhất là cô nhân viên siêu âm lầu 4 ( e quên phòng mấy rồi ) nói chuyện không nể nang già trẻ gì cả rất matday. Nhưng bù lại bs nói chuyện nhỏ nhẹ , nhân viên bảo vệ riêng ở các tầng chỉ dẫn tận tình cho mn. Bên lấy máu cũng phục vụ dễ thương.",0,0,0,0,0,0,1,0,0,0,0,2,0
"Tôi đang điều trị khoa vi phẫu, tôi được chăm sóc và tư vấn trước và hậu phẫu tận tình (nhân viên An, Gấm, Tuyền, Duyên, Yến)",0,0,0,0,0,0,0,0,0,0,0,1,0
Dịch vụ tốt,0,0,0,0,0,0,0,1,0,0,0,0,0
"Có 1 bộ hồ sơ mà làm cũng ko xong, cả 1 phòng kế hoạch chán",0,0,0,0,0,0,0,2,0,0,0,0,0
"Căn tin sạch sẽ, có minimart.",0,0,0,1,0,0,0,0,0,0,0,0,0
Nhân viên như c**,0,0,0,0,2,0,0,0,0,0,0,0,0
"Thái độ nhân viên không tốt, tư vấn nói chuyện không chút nhiệt tình",0,0,0,0,0,0,1,0,0,0,0,0,0
"Tôi đã mỗ cuồm mắt tại đây, việc thực hiện đả hoàn tắt như ý, cung cách phục vụ rất chu đáo.",0,0,0,0,0,0,0,0,0,0,0,1,0
"Mẹ mình mổ ở đây, lúc đầu vào mình rất ngại vì QUÁ ĐÔNG.
1/ Quá đông nên gần như bệnh nhân đa số xuất viện chỉ sau mổ 2 ngày
2/ Xếp hàng thang máy có khi cả tiếng
3/ Lịch mổ dày đặt
Mọi người có người nhà mổ cần lưu ý- khi nhập viện chờ mổ tầm 1 ngày, lúc người thân đi mổ là DỌN CẢ GIƯỜNG đi luôn để chỗ cho người khác vô nằm (vì mổ và hồi sức từ 8-12 có khi 24 tiếng tuỳ nặng nhẹ)
Sau khi bệnh nhân hồi sức có phòng trống thì mới vào đc
Nhưng
1/ Bố trí di chuyển phù hợp - logic
2/ Mọi người y tá, bảo vệ, bác sĩ cực kì nhẹ nhàng. Nói chuyện đúng trọng tâm chuyên môn, ít khi cao giọng (ko tính phòng cấp cứu do quá tải trọng và áp lực cao)
3/ Phải nói cực kì ấn tượng về VỆ SINH- sạch sẽ từ canteen tới WC.",0,0,0,1,1,0,1,1,0,2,2,0,0
Tốt nhất,0,0,0,0,0,0,0,0,0,1,0,0,0
"Dịch vụ chuyên nghiệp
Nhân viên vui vẻ tận tình
Phòng ốc sạch sẽ thoang mát
Y bác sĩ chuyên môn tốt, tận tâm",0,0,1,1,1,0,1,1,0,0,0,0,0
