Review,Cơ sở vật chất#Chất lượng,Cơ sở vật chất#Khác,Cơ sở vật chất#Không gian,Cơ sở vật chất#Vệ sinh,Nhân viên y tế#Chất lượng,Nhân viên y tế#Khác,Nhân viên y tế#Thái độ,Trải nghiệm chung#Chất lượng,Trải nghiệm chung#Giá,Trải nghiệm chung#Khác,Trải nghiệm chung#Không gian,Trải nghiệm chung#Thái độ,Trải nghiệm chung#Vệ sinh
Bệnh viện đông bệnh nhân mà nhân lực thì thiếu người sếp hàng dài nhưng vẫn không có thêm nhân viên hỗ trợ cho mọi việc được nhanh chóng hơn. Mong ban lãnh đạo bệnh viện xem lại giúp bệnh nhân được thuận tiện trong việc khám chữa bệnh ở bệnh viện.,0,0,2,0,0,2,0,0,0,0,0,0,0
"Là bệnh viện tuyến trung ương nên lúc nào cũng đông nghẹt, chất lượng khám chữa bệnh thì ok, các bác sĩ và đội ngũ y tá hỗ trợ nhiệt tình, chi phí khám và điều trị còn hơi cao đối với bệnh nhân dưới quê nghèo lên khám và điều trị",0,0,2,0,0,0,1,1,3,0,0,0,0
"Bệnh viện sạch sẽ, y bác sĩ nhẹ nhàng. Quy trình làm việc, mình đánh giá là nhanh (đấy là đối với case cấp cứu như con mình)
Vụ đóng viện phí cũng tiện, có thể chuyển khoản, qua zalo pay, momo… nói chung rất thuận tiện
Giá dịch vụ tầm cao, phòng 4 giường là 1,4tr/người/ngày bao gồm ăn 3 bữa, có giường cho người nhà đầy đủ mền gối.
Phòng sạch sẽ, nhà tắm đầy đủ nước nóng lạnh.
Có khu canteen đồ ăn sạch sẽ, rộng rãi, view ngắm thành phố cũng chill, giá các loại đồ ăn uống dễ chịu.",1,0,1,1,0,0,1,1,1,1,0,0,0
"Bà Hồ Thi Thanh Thủy và ông Vũ Quang Hưng.Bạn nào đi khám tiêu hóa gan mật thì làm ơn ĐỪNG hỏi bà cô này không thì sẽ lãng phí thời gian thôi! Mình lấy số để buổi chiều khám, nhưng tới trước để có ghế ngồi. Thấy tới giờ làm việc, do đây là lần đầu mình đi khám nên có đến lễ tân để hỏi cho cẩn thận. Thật xui cho mình là hỏi trúng bà cô này. Mình đưa số và giấy tờ đầy đủ, sau đó hỏi bả làm sao để vào khám, bả đáp liền là ra ngoài phòng nhìn số trên TV rồi vô khám. Mình nhìn trên TV thì thấy tới số của mình, vô thấy bảng số nó khác với TV nên để đề phòng, mình quyết định đợi một chút. Sau đó mình thấy nó đi lố số của mình, nên nhân lúc bà cô đó ra ngoài, mình đưa số và giấy tờ cho bả coi, thì bả lại thản nhiên nói là qua chỗ khác nộp. Quỷ thiệt! Nếu vậy thì nói ngay từ đầu đi, bà cô bận thì tôi cũng vậy. Làm việc không chuyên nghiệp như thế này thì sao vô làm ở bệnh viện này được hay thật. Coi như là không yêu cầu quá cao với vị trí của bà cô, nhưng ít nhất cũng phải cẩn thận chứ, chuyện nhỏ như coi thông tin khám bệnh còn chưa xong, thì không biết ghi thuốc cho bệnh nhân như thế nào. Tôi vô phòng khám thì bác sĩ lẫn y tá cà giỡn với nhau. Tôi nhắc nhở thì ông bác sĩ tỏ thái độ không đúng nên tôi chuyển ra chổ khác khám. Bạn thử nghĩ, nếu cả bác sĩ lẫn y tá đều có thái độ và hành vi như trên, thì bạn có nghĩ họ khám cho bạn nghiêm túc và hợp với số tiền trên 500K bạn sẽ trả không?! Yêu cầu bệnh viện coi lại nhân viên của mình. Còn về bà cô và ông bác sĩ kia thì tôi chỉ muốn nói, nếu bà cô và ông làm ở bệnh viện nước ngoài, thì sẽ bị phạt tiền và ghi phạt nếu gặp phải bệnh nhân khó tính họ kiện cho. Kiện bệnh viện vì làm sai dù chỉ một việc nhỏ là chuyện hoàn toàn bình thường ở nước ngoài.",0,0,0,0,2,0,2,2,2,2,0,0,0
"Khám ngày thường thì rất đông nhưng sáng thứ 7 thì thưa người.

Các phòng chức năng như siêu âm, x-quang, nội soi thì nhanh, chuyên nghiệp.

Chuẩn bệnh thì tuỳ bs, hôm trc gặp bs rất tận tâm tư vấn kỹ lưỡng. Nhưng hôm sau nộp kqua thì gặp bs khác rất vội vàng. Tư vấn quá nhanh, ko kịp hỏi bệnh.",1,0,0,0,0,0,1,1,0,2,2,0,0
"Kinh nghiệm khám bệnh ở ĐHYD của mình là
- T1: Đăng ký khám bệnh qua app UMC
- T2: Ngày khám đi thật sớm tốt nhất là lúc 6h sáng khi BV mở cửa nếu bạn ở tỉnh. Nếu BS yêu cầu xét nghiệm b nên nhanh chóng đi nộp phiếu để lấy STT xét nghiệm, siêu âm. Ưu tiên Siêu âm > Lấy máu, xét nghiệm nước tiểu
- T3: Siêu âm là mình thấy đông nhất nên trong lúc chờ đợi siêu âm MN có thể đi ăn sáng và uống caffe. Xung quanh có rất nhiều quán nhưng mình hay uống ở quán NAPOLI ở 014 đường TẢN ĐÀ, Caffe sạch và có bán mì gói trứng, ăn nhẹ bụng, sạch sẽ, giá rẻ chưa đến 30k 1 buổi sáng
- T4: Lấy HĐ đỏ trên website của BV",0,0,2,0,3,0,0,0,1,0,0,0,1
"Nhân viên thái độ, thích tranh cãi, đổ thừa, làm việc ồn ào, ko thông minh, mấy phòng nội soi như toilet",0,0,0,2,0,0,2,2,0,0,0,0,0
"ƯỚC GÌ BỆNH VIỆN ĐẦU TƯ MỘT CÁI MÁY CHỤP PET-CT để bệnh nhân không phải bị chuyển sang bệnh viện khác chụp. Vừa mệt mỏi, vừa mất thời gian. Bệnh viện hiện tại, sạch sẽ, chuyên nghiệp nhưng lại thiếu máy móc tiếc quá. Phải qua bệnh viện Chợ Rẫy chụp rồi mang kết quả qua lại. Bệnh viện cố gắng sắm máy về để bệnh nhân đỡ cực và hài lòng hơn nhé. Cảm ơn ạ",1,2,0,1,0,0,0,0,0,2,0,0,0
"Bệnh viện chăm sóc nội trú rất tốt, từ tất cả vệ sinh buồng phòng cho tới nvyt, nay đặt lịch khám bệnh khá dễ dàng và nhanh chóng khi làm thẻ khám chữa bệnh, đối với bệnh nhân điều trị nội trú thì chỉ có 1 thân nhân đi kèm và không có được thăm bệnh ngoài chiều thứ ba từ 17-18h",1,0,0,0,1,0,0,1,0,2,0,0,0
"Chờ từ 10 sáng đến gần 4h chiều mà chưa tới lượt siêu âm, chờ thôi đã muốn bệnh thêm, trong khi dặn mình là 3h sẽ tới lượt.",0,0,0,0,0,0,0,2,0,2,0,0,0
"Căn tin của bệnh viện này rất sạch sẽ, bán rất nhiều món ăn thức uống đa dạng, sạch sẽ, dịch vụ chuyên nghiệp.

Ở tầng 3 của bệnh viện nha. Nhà vệ sinh từ tầng 3 trở lên mấy tầng phía trên đều sạch sẽ, đầy đủ giấy vệ sinh. Tầng 1 và 2 cũng ok nhưng rất đông.

Mọi người nên đến căn tin ăn, giá không mắc, đồ ngon, ngồi máy lạnh, có máy nước uống nóng lạnh, miễn phí. Đỡ phải đi mua đồ quanh bệnh viện sợ không đảm bảo vệ sinh, xô bồ, dễ mất đồ, nóng nữa.

Nếu có thể nên đi thang bộ sẽ nhanh hơn chờ thang máy. Còn không đi thang bộ được thì nên xuống tầng trệt bắt thang máy chứ bắt từ tầng 1 rất khó đi lên.

Tất cả nhân viên từ lao công, thu ngân, điều dưỡng đến bác sĩ đều nhẹ nhàng, tận tình, không thái độ.

Bác sĩ có chuyên môn rất cao và là bệnh viện tuyến cuối nên mặt bệnh rất đông và đa dạng. Cơ sở vật chất rất sạch sẽ và được lau chùi bảo dưỡng thường xuyên. Máy móc, thuốc thang, trang thiết bị đầy đủ, tân tiến.

Đồ ăn cho bệnh nhân cũng ngon so với các bệnh viện khác. Bệnh nhân nằm giường lại có vấn đề gì cứ bấm nút đầu giường là điều dưỡng chạy lại liền. Có thắc mắc gì cứ hỏi bất cứ nhân viên nào sẽ được chỉ dẫn. Giường, mền gối, nhà vệ sinh lưu bệnh đều sạch.

Thanh toán bằng mã QR hoặc chuyển khoản ngân hàng nhanh chóng, không tốn phí.

Các chuyên khoa có chuyên môn cao. Bác sĩ nhiều. Đa số đều tốt nghiệp ĐHYD.

Nên đặt lịch khám qua app ĐHYD trước để tiết kiệm thời gian chờ đợi lâu vì lượng bệnh rất đông. Thanh toán bảo hiểm cũng dễ dàng. Tuy thuốc bảo hiểm nhưng bác sĩ kê đa số là thuốc tốt.

Có tổng đài (trên website hoặc app) gọi hỏi nhân viên y tế tư vấn cho đi khám khi nào, đặt lịch làm sao.",2,1,2,1,1,1,1,1,1,1,0,0,0
"Là bệnh Viện tốt nhất Phía Nam . Nên khá đông người đến khám , đi 5h sáng mà xếp hàng tới 8h mới khám được . Giá cao nhưng dịch vụ ổn nha. Nhân viên chăm sóc tận tình .",1,0,2,0,0,0,1,1,2,2,0,0,0
"Nhân viên BS ở đây khám vô cùng ẩu tả. sức khoẻ con người mà làm việc ẩu kinh khủng.
Người nhà mình đi khám không biết bao nhiêu bệnh viện kết quả đều bị hở van tim. Mà bs bên đây SA, đo điện tim các thứ bảo là bth.",0,0,0,0,2,0,0,2,0,2,0,0,0
"Bệnh viện hiện đại . Khuyến nghị: thêm phòng Siêu âm , đợi hơi lâu",1,0,0,0,0,0,0,0,0,3,0,0,0
"BV hiện đại, sạch đẹp
Tình hình chung là các bv ở TP.HCM rất đông người đến khám. Do đó, khuyến khích bạn đăng ký hẹn giờ trước khi đến.",1,0,2,1,0,0,0,0,0,0,0,0,0
"Tệ, Khám BHYT có giấy chuyển tuyến mà toàn kê thuốc ngoài danh mục BHYT. Bắt BN phải tự chi trả 100% tiền khám, 100% tiền thuốc. Thuốc thì bán đắt hơn ở ngoài. Mấy thuốc cơ bản như giảm đau, viêm, trợ tiêu hóa, gigola biloba, Vitamin B12 là thuốc trong danh mục BHYT , đi khám BV công toàn được phát.

Còn ở đây BS toàn kê đơn thuốc cùng thành phần mà nằm ngoài danh mục BHYT. Tiền khám 150k, tiền thuốc gần 2 củ. BHYT thui bỏ đi. Trước lúc khám BV bắt ký cam kết đồng chi trả ngoài BHYT là thấy nghi rồi. Khám đợi rất lâu. Bsĩ thái độ ko tốt với người bệnh. Thấy bệnh nhân xài BHYT thì phân biệt đối xử. Vậy thui ghi rõ ra là ko cho xài BHYT đi.  Chứ  kê toa 100% thuốc ngoài danh mục ko thì có đi đúng tuyến cũng có được BHYT trả xu nào đâu.

Khám giá dịch vụ mà chất lượng còn tệ hơn BV công nữa. Kiểu đông quá nên ko cần bệnh nhân. BS khám qua loa cho xong. Khuyên mọi người ở tỉnh thì đi ra BV khác cho lành. Ở đây chỉ đc cái tiếng chứ chất lượng thì 0 sao nha",0,0,0,0,2,0,2,2,2,2,0,2,0
"Khám ở đây chưa bao giờ thất vọng , làm việc rất chuyên nghiệp nhanh gọn lẹ , bác sĩ tận tâm , chuyên môn cao mà rất ân cần tâm lí luôn . Khong biết sao chứ  ở đây chắc hội tụ tất cả các bs dễ thương hay sao á , mình ch thấy một ng nào làm ở bệnh viện này mà k dễ thương cả . 10 điểm",0,0,0,0,1,0,1,1,0,1,0,0,0
"Bác sỹ làm việc có tâm. Các y tá & nhân viên hỗ trợ nhiệt tình. Bệnh viện quá đông bệnh nhân, đội ngũ y bác sỹ ở đây có lẽ rất áp lực. Kính chúc mọi người luôn mạnh khỏe để phục vụ cộng đồng.",0,0,2,0,0,0,1,2,0,0,0,0,0
"Bệnh viện mới, cơ sở vật chất hiện đại và đẹp. Nhân sự đánh giá tổng quan rất niềm nở, hướng dẫn nhiệt tình và nhẹ nhàng. Có căn tin sạch sẽ, ngồi thoải mái, giá cả hợp lý.",1,0,1,1,0,0,1,0,1,0,0,1,0
"Trước mình nằm viện với khám ở đây
điều dưỡng thì có 1 số chị hơi khó chịu phòng thì cũng sạch
Khám bệnh ok lắm nha mn do đông quá có khi bị sai thời gian tí nên mọi người ráng đợi nha
Còn siêu âm thì bóc số xong thì nộp giấy cho bác sĩ ở phòng đó rồi đợi kêu tên chứ hông có đợi tới số đâu ạ",0,0,0,1,0,1,2,0,0,1,2,0,0
"Cái cảm giác hụt hẫng khi vào 1 bệnh viện lớn ở TPHCM
Sáng Mẹ tôi thức dậy 4h sáng chuẩn bị lên Sài Gòn khám bệnh ,tôi biết đuoc các bước khám bệnh nên phải để Mẹ nhịn đói dể vào thử máu ,tất cả các phòng khám kiểm tra phải chờ đợi từ 30 phút trở lên mới kiểm tra
Đến khu nội soi thì 1 bé áo xanh mập mập báo ,phải chờ đến 1h30 phút mới nội soi
Tôi vẫn chấp nhận chờ đến 1h30p để đđựoc nội soi cho Mẹ ,người lớn tuổi nhịn đói từ 4h sáng đến 1h30phut , thì người mệt mỏi huyết áp lên ,ko nội soi được, nhân viên nội soi nói giờ huyết áp Bà cao nên phải dký nội soi gây mê , tôi ra con bé mập mập kêu về đi chiều mai vào gây mê nội soi, tôi xin năn nỉ là Bà ở quê lên , sáng giờ phải nhịn đói chờ nên em giúp chị , để Bà đuoc gây mê nội soi
Bé mập vẫn nhất định không được, bảo Chį nói nhiều quá làm mất thời gian làm việc của tôi , đôi mắt nó lườm lườm muốn ăn tươi nuốt sống tôi luon ! Nghe mà thấy bực ghê,thái độ vô cảm , như vậy ko hiểu GD bệnh viện nhận vào làm việc  cho đuoc!!! Nhưng tôi tự an ủi mình ,chắc con bé này là cháu của GĐ bệnh viện nên nó mới vậy !! Buồn cho tình người 👎👎👎👎👎👎👎",0,2,0,0,2,3,2,0,0,2,0,0,0
"Bệnh viện sạch sẽ, thoáng đãng. Cầu thang chính rộng rãi, có cả thang cuốn 2 bên rất tiện ó. Bệnh nhân thì đông thiệt nên 1 vài phòng khám phải đợi lâu mới tới lượt, lâu lắm.. Điều đặc biệt là các nhân viên và các bạn thực tập sinh đều rất là dễ thương chừi ưii",0,2,1,1,0,0,1,0,0,0,0,0,0
"Lần đầu tiên mình vào bệnh viện đại học y dược thành phố hồ chí minh, mình khám khoa tai mũi họng. Đi lúc 5h sáng mà bệnh nhân tới khám rất đông, bốc được số thứ tự 46 thời gian vào phòng lúc 10h đúng như thời gian dự kiến. Bác sĩ và các bạn hướng dẫn rất nhiệt tình, dễ thương. Mặc dù mọi thứ đều rất tốt nhưng hy vọng không bao giờ trở lại nơi này.  Hehe.",0,0,1,0,0,0,1,1,0,1,0,0,0
Bệnh viện rộng nhân viên y tế nhanh chóng,0,0,1,0,1,0,0,0,0,0,0,0,0
"Vào bệnh viện cảm thấy thân thiện gần gũi như người nhà, đặt biệt là các anh chị hướng dẫn như cha mẹ mình. Thái độ Thấy sợ, khám dịch vụ mà hành như cha mẹ đẻ, k biết đi bảo hiểm chắc phải lạy mới vừa lòng",0,0,0,0,0,0,1,0,0,2,0,2,0
"Cực kì tệ, mình lên tới bệnh viện 8h đăng kí khám thì dc phát số xong kêu đợi tới 2h mới dc khám, do đi xa nên cũng cố đợi cuối cùng 3h vẫn chưa tới lượt khám",0,0,0,0,0,0,0,2,0,2,0,0,0
"Đã đi khám và đưa người nhà khám ở BV này nhiều lần.
Hôm nay là trải nghiệm tồi tệ nhất.
Thứ 07 bệnh nhân đông đúc, nhân viên bệnh viện thì hằn học, xử lý hồ sơ tắc trách, đùn đẩy trách nhiệm, đi khám bệnh mà nhiêu khê quá.
Cái phiếu khám tổng quát đi vào khu tiếp cận lâm sàng, nhân viên quầy lấy làm việc xong trả thiếu mất phiếu rồi đổ khách làm rơi, đứng trơ trơ ở đó chả hiểu rơi ở đâu.
Phải qua quầy đăng ký làm lại, rồi đi qua quầy điều chỉnh thông tin sửa, và các nhân viên thái độ như gia đình đang ly tán.",0,0,2,0,2,2,2,2,0,0,0,0,0
"Không thể tưởng tượng được có 1 người lấy mẫu xét nghiệm tệ tới như vậy. Không biết chị làm được bao nhiêu năm hay chỉ là thực tập sinh nhưng nhìn thì thấy chả có tí kinh nghiệm nào để lấy mẫu máu. Hôm nay 31/5/2023 mình tới bv khám tổng quát khi vào xét nghiệm thì để cho 1 chị ngồi quầy số 6 làm. Ghim kim lần đầu chị chả ghinh đúng mạch máu ghim tới ghim lui phải hơn 10 lần vẫn k lấy được máu, da thịt con ng cũng biết đau mà đâu phải da trâu đâu chị. Xong đổi tay thì vừa rút đc 1 ống máu thì mình đã xĩu gục trên bàn luôn trong khi trước đó mình đã nói 2-3 lần là hiện tại mình chóng mặt k thể chịu được nữa. Đến khi mình xĩu chị vẫn k hề quan tâm mà vẫn miệt mài rút máu mấy y tá xung quanh nói là mình xĩu rồi kìa chị nói chóng mặt chứ k sao, vẫn k hề quan tâm hay để ý tới luôn. Nếu lúc đó mình đủ tỉnh táo để nói thì hỏi chị có làm đc hay k không làm được thì để ng khác. Chứ thật sự nhìn chỉ k có chút kinh nghiệm và k để ý bệnh nhân mình tí nào làm thì lộng cộng rớt tới rớt lui. Sợ mấy chị như vậy lắm :)))))) sáng tưởng chị rút mạng chứ rút máu gì.",0,0,0,0,2,2,2,0,0,2,0,0,0
"Đọc review thấy nhiều ý kiến đánh giá không cao nhưng nay mình trải nghiệm rất tốt nên lên chia sẻ. Mình đặt lịch khám qua app lấy hẹn 8.45, tới sớm đợi chút rồi tầm hơn 9h chút là được vô khám. Không phải cảnh tới xếp hàng lấy số chờ đợi mấy tiếng. Mình khám phòng 29, khoa Lồng ngực - Mạch máu. Ngoài ghế cố định của bv, khoa bố trí ghế inox cao nhỏ nên dù đông vẫn đủ/dư ghế ngồi đợi. Từ lễ tân khu phòng khám, tới TKYK và bác sĩ đều nhỏ nhẹ, hoà nhã với bệnh nhân. Bác sĩ tư vấn thân thiện. Cầm toa xuống mua thuốc xong trên biên nhận có số thứ tự, nhìn màn hình tới lượt tới quầy nhận thuốc là xong. Thuốc đựng trong túi giấy tái chế nhìn có thiện cảm. Bảo vệ và giữ xe cũng lịch sự. Nói chung là hài lòng.",0,0,1,0,0,0,1,1,0,1,0,0,0
7/7 /2023Mình đi lúc 5 30 sáng giờ lịch khám của mình 10gio 30 tới 11gio30 chua trả kết quả cho bác sỹ mà cho mình từ 1gio30 đến 2gio,0,0,0,0,2,2,0,0,0,3,0,0,0
Bệnh viện phẫu thuật tim thất bại gây chết người. Bác sĩ nguyễn hoàng định trả mạng lại cho người thân của tôi đi,2,0,0,0,2,0,0,0,0,0,0,0,0
"Khám xét nghiệm máu gói 1tr272 lúc 9h. Hẹn 11h15 lấy kết quả xét nghiệm đầu tiên, Đúng hẹn có kết quả rất tuyệt vời. Hẹn 2h lấy kết quả xét nghiệm 2 mà ngồi chờ tới 3h chưa có??? Vậy sao ko hẹn 3h luôn đi để người bệnh đi nghỉ ngơi hay làm gì khác mà vô ngồi chờ hơn 1 tiếng đồng hồ. Hỏi cứ kêu ngồi đợi ngồi đợi.",0,0,0,0,0,0,0,1,3,2,0,0,0
"Tôi tái khám sau khi ra viện 3 ngày vào chiều ngày 08/5/2023 tại phòng khám ths.bác sĩ Lê Châu Hoàng Quốc Chương, tôi đã khóc thét ngay trên giuong khám và phải nằm khóc tại chỗ đến 10phút sau, chỉ vì một lí do bác sĩ ko có chút lương tâm nào. Tôi được gọi tên vào phòng khám sau khi chờ 3h đồng hồ, bước vào phòng tôi trình hồ sơ và báo cho bs biết tôi tái khám sau mổ ngày 04/5, bs Chương hỏi tôi: “giờ tôi khám vết thương sẽ rất đau, vậy cô có khám không?”, tôi nói: tôi ko biết đc bs khám cho tôi ntn thì khám (vì tôi đâu biết đc khi tái khám sau mổ họ sẽ khám ntn về vết mổ của mình). Bs bảo tôi nằm lên giuong ông đeo găng tay vội vàng rồi thọc tay vào sâu vết thương và rút ra ngay(giống y chang kiểu khám lần đầu tiên ngày tôi tới khám), và lặng ko nói gì bỏ ra ngồi bàn, khi tôi dậy được ra bàn bs ko hề nói gì về tình trạng của tôi mà chỉ đưa tôi đơn thuốc bảo xuồng nhà thuốc mua hai tuần sau tái khám.
Lương tâm một bs khi thăm khám bệnh nhân như vậy mọi người thấy có được ko, chúng ta phải đóng tiền khám và chờ mấy tiếng chỉ đc đón nhận sự vô tâm quá mức như vậy hay sao? Mn ai có ý định tới bv đại học y dược khám và điều trị thì hãy trừ bs Lê Châu Hoàng Quốc Chương ra nhé. Tôi nghẹn ngào cho tới bây giờ vì lương tâm bs mang tiếng cứu người mà như vậy. Với tôi thà chết tôi cũng sẽ ko đến bv đại học y dược tp hcm nữa, đặc biệt là bs lê châu hoàng quốc chương.",0,0,0,0,2,0,2,0,0,2,0,2,0
