"domain","title","category"
"hospital","Trung Tâm Y Tế Hoàng Mai","Bệnh viện"
"hospital","Trung tâm Y tế Huyện Lương Tài","Bệnh viện đa khoa"
"hospital","Phòng khám Đa khoa Tâm Anh Cầu Giấy","Phòng khám"
"hospital","Trung tâm Y tế khu vực Cái Răng","Trung tâm y tế"
"hospital","Phòng khám Đa khoa - Trạm Y tế phường Bình Lợi Trung","Trung tâm y tế"
"hospital","Bệnh Viện Đa Khoa Quế Võ","Bệnh viện đa khoa"
"hospital","BỆNH VIỆN THÚ Y KKC","Phòng khám miễn phí"
"hospital","Bệnh viện Đa khoa Thiện Nhân - Quế Võ","Bệnh viện"
"hospital","Bệnh viện Thị Trấn Ngụ","Bệnh viện"
"hospital","Bệnh viện Đa khoa Hoàn Mỹ 3","Bệnh viện"
"hospital","Bệnh Viện Đa Khoa Huyện Lương Tài","Bệnh viện"
"hospital","Bệnh viện đa khoa Bắc Ninh số 2","Bệnh viện đa khoa"
"hospital","Bệnh Viện Đa Khoa Huyện Gia Bình","Bệnh viện"
"hospital","CTCP Bệnh Viện Quốc Tế Nhân Đức","Bệnh viện"
"hospital","Bệnh viện Sản - Nhi Bắc Ninh số 2","Bệnh viện chuyên khoa"
"hospital","Bệnh viện đa khoa Ngã Tư Hồ","Bệnh viện"
"hospital","Bệnh Viện Đa Khoa Thị Xã Thuận Thành","Bệnh viện"
"hospital","Bệnh viện Mắt Tỉnh Bắc Ninh","Bệnh viện"
"hospital","Bệnh viện đa khoa Kinh Bắc 2","Bệnh viện"
"hospital","CTCP BỆNH VIỆN QUỐC TẾ HOÀN MỸ CS2 - THUẬN THÀNH","Phòng khám"
"hospital","Bệnh Viện Đa Khoa Văn Giang","Bệnh viện"
"hospital","Bệnh viện E","Bệnh viện đa khoa"
"hospital","Bệnh Viện Quân Y 110 - Bắc Ninh","Bệnh viện quân đội"
"hospital","Bệnh viện Việt Đức","Bệnh viện"
"hospital","Bệnh viện Tâm thần Bắc Ninh","Bệnh viện tâm thần"
"hospital","CTCP BỆNH VIỆN QUỐC TẾ HOÀN MỸ","Phòng khám"
"hospital","Bệnh viện K","Trung tâm điều trị ung thư"
"hospital","Bệnh viện Đa khoa Vinmec Ocean Park 2","Bệnh viện"
"hospital","Bệnh Viện Việt Pháp Hà Nội","Bệnh viện"
"hospital","Bệnh Viện Đa Khoa Thường Tín","Bệnh viện đa khoa"
"hospital","Bệnh viện Đa khoa Yên Phong","Bệnh viện"
"hospital","Chuyên khoa Sức khỏe tổng quát - Bệnh viện Đa khoa Quốc tế Vinmec Ocean Park 2","Bệnh viện"
"hospital","BỆNH VIỆN MẮT HẢI HƯNG","Bệnh viện"
"hospital","Bệnh Viện Điều Dưỡng Phục Hồi Chức Năng","Bệnh viện"
"hospital","Bệnh viện Hữu Nghị Việt Xô","Bệnh viện đa khoa"
"hospital","Bệnh viện mắt Việt - Hà Nội","Bệnh viện"
"hospital","Trung tâm Y tế Khoái Châu","Trung tâm y tế"
"hospital","Cổng số 3 - Bệnh Viện Đa Khoa Tỉnh","Bệnh viện"
"hospital","Trạm Y tế xã Song Giang","Bệnh viện"
"hospital","Bệnh viện Việt Nhật - PKĐK Yên Phong","Bệnh viện"
"hospital","Viện Giảm Béo - Điêu khắc Body số 1 bắc ninh","Spa sức khỏe"
"hospital","TT Ung bướu - Bệnh viện Bắc Ninh","Bệnh viện"
"hospital","Bệnh viện K cơ sở 3 (Tân Triều)","Trung tâm điều trị ung thư"
"hospital","Bệnh viện chuyên khoa mắt Alina","Bệnh viện tư nhân"
"hospital","Thẩm Mỹ Viện Quyên Phạm","Thẩm mỹ viện"
"hospital","Viện Kiểm Sát Nhân Dân Huyện Lương Tài","Văn phòng công tố viên"
"hospital","Nhất liệu y viện kết hợp với làm móng","Tiệm chăm sóc móng"
"hospital","Khoa Phẫu thuật Nhi - Bệnh viện Việt Đức","Khoa của bệnh viện"
"hospital","Bệnh Viện Thú Y PETLUXURY VET HOSPITAL","Bệnh viện thú y"
"hospital","Trung Tâm Nam Học - Bệnh Viện Hữu Nghị Việt Đức","Bệnh viện"
"hospital","Thẩm mỹ viện Khúc Thảo","Thẩm mỹ viện"
"hospital","Viện Kiểm Sát Huyện Khoái Châu","Văn phòng công tố viên"
"hospital","Bệnh viện K cơ sở 1 (Quán sứ)","Bệnh viện"
"hospital","Bệnh viện thú y sunpet","Dịch vụ cấp cứu thú y"
"hospital","Viện Tóc K&T","Chuyên gia làm đẹp"
"hospital","Bệnh Viện Thú Y Cvet Chức Nhung - Phố Chợ Tía . Thường Tín","Bệnh viện thú y"
"hospital","Thẩm mỹ viện Huyền Tây","Thẩm mỹ viện"
"hospital","Thẩm mỹ viện Simi - CN Bắc Ninh","Thẩm mỹ viện"
"hospital","Mỹ Viện Cẩm Nhàn","Thẩm mỹ viện"
"hospital","Chuyên khoa Cơ xương khớp Chấn thương chỉnh hình - Bệnh viện Đa khoa Quốc tế Vinmec Ocean Park 2","Bệnh viện"
"hospital","Viện Kiểm Sát Thị Xã Quế Võ","Văn phòng công tố viên"
"hospital","Thẩm Mỹ Viện Tuấn Hường","Thẩm mỹ viện"
"hospital","Nhà Thuốc Bệnh Viện","Hiệu thuốc"
"hospital","Thẩm mỹ viện yuki","Thẩm mỹ viện"
"hospital","Bệnh viện thú y Nguyệt Phát","Bệnh viện thú y"
"hospital","Thẩm Mỹ Viện Xuân Hương","Thẩm mỹ viện"
"hospital","Thẩm Mĩ Viện Hải Lý","Thẩm mỹ viện"
"hospital","Bệnh Viện Thú Y HomePet Bắc Ninh","Bệnh viện thú y"
"hospital","Viện thẩm mỹ dưỡng sinh","Thẩm mỹ viện"
"hospital","Thẫm Mỹ Viện KOREA","Thẩm mỹ viện"
"hospital","Thẩm Mỹ Viện Hà Anh","Spa mặt"
"hospital","Viện Kiểm Sát Khu Vực 9","Văn phòng công tố viên"
"hospital","Bệnh viện Việt Nam - Thụy Điển Uông Bí","Bệnh viện đa khoa"
"hospital","THẨM MỸ VIỆN THU CÚC","Thẩm mỹ viện"
"hospital","Phòng khám Nhi Bác sĩ viện Nhi","Phòng khám chuyên khoa"
"hospital","Chuyên khoa Sản - Bệnh viện ĐKQT Vinmec Ocean Park 2","Bệnh viện phụ sản"
"hospital","Nhất Liệu Y Viện 126","Vật lý trị liệu"
"hospital","Bệnh viện K cơ sở 2 (Tam Hiệp)","Trung tâm điều trị ung thư"
"hospital","Bệnh viện Xã Đại Lai","Bệnh viện"
"hospital","Bệnh Viện Đa Khoa Phúc Lâm","Bệnh viện chuyên khoa"
"hospital","Bệnh Viện Đa Khoa An Việt","Bệnh viện"
"hospital","Bệnh viện chuyên khoa tỉnh Bắc Ninh","Bệnh viện chuyên khoa"
"hospital","Trung Tâm Y Tế Quận Lê Chân","Trung tâm y tế"
"hospital","Dịch Vụ Y Tế","Bệnh viện đa khoa"
"hospital","Hỗ trợ bệnh viện tâm thần hải phòng","Phòng khám"
"hospital","Trung tâm Y tế An Dương","Trung tâm y tế"
"hospital","Trung tâm Y tế Kiến Thuỵ","Trung tâm y tế"
"hospital","Trung Tâm Y Tế Hòa Khánh Nam","Trung tâm y tế"
"hospital","Trung Tâm Y Tế Huyện Hoà Vang","Bệnh viện đa khoa"
"hospital","Trung tâm Y tế quận Cẩm Lệ","Trung tâm y tế"
"hospital","Trung tâm Y tế quận Thanh Khê","Bệnh viện"
"hospital","Bệnh Viện Tâm Thần Trung Ương 1","Bệnh viện tâm thần"
"hospital","Trung tâm Y tế Quế Võ","Bệnh viện"
"hospital","Trung Tâm Y Tế Huyện Tiên Du","Trung tâm y tế"
"hospital","Trung tâm Y tế thành phố Bắc Ninh","Trung tâm y tế"
"hospital","Trung tâm y tế Thị xã Việt Yên","Trung tâm y tế"
"hospital","Trung tâm y tế TP. Từ Sơn","Trung tâm y tế"
"hospital","Trung tâm Y Tế dự phòng huyện Yên Phong","Trung tâm y tế"
"hospital","Trung tâm Y tế huyện Hiệp Hòa","Bệnh viện chính phủ"
"hospital","Phòng Khám đa khoa Trung Giã","Trung tâm y tế"
"hospital","Đơn vị Khám và Điều trị 24h của Khoa Điều trị Tự nguyện - Bệnh viện Nhi Trung Ương","Bệnh viện nhi"
"hospital","Trung Tâm Y Tế Dự Phòng","Bệnh viện"
"hospital","Phòng khám Đa khoa Tâm An","Bệnh viện"
"hospital","Bệnh Viện - Trung Tâm Y Tế Huyện","Bệnh viện"
"hospital","Phòng Khám Đa Khoa Tâm Việt","Bệnh viện"
"hospital","Trung tâm Y tế huyện Lạc Thủy","Trung tâm y tế"
"hospital","Bệnh Viện Tâm Thần Hà Nội","Bệnh viện tâm thần"
"hospital","Trung Tâm Y Tế huyện Đà Bắc","Trung tâm y tế"
"hospital","Trụ sở chính- Trạm y tế Phường Linh Xuân","Trung tâm y tế"
"hospital","Trung tâm Y tế quận 10","Bệnh viện đa khoa"
"hospital","Trung Tâm Y Tế Quận 1 Trạm Y Tế","Trung tâm y tế"
"hospital","Trung tâm Y tế TP. Thủ Đức","Trung tâm y tế"
"hospital","Trung tâm Y tế Quận 8","Trung tâm y tế"
"hospital","Trung Tâm Y Tế Quận 1","Trung tâm y tế"
"hospital","Trung Tâm Y Tế Quận 4","Bệnh viện"
"hospital","Trạm Y Tế Phường Bình Thọ Thành phố Thủ Đức","Trung tâm y tế"
"hospital","Trung Tâm Y Tế Quận 10","Trung tâm y tế công cộng"
"hospital","Trạm y tế phường Bình Thắng","Trung tâm y tế"
"hospital","Phòng Khám Thiên Tâm","Bệnh viện"
"hospital","Trung tâm Y tế quận Tân Bình","Trung tâm y tế công cộng"
"hospital","Bệnh viện Tai Mũi Họng","Trung tâm y tế"
"hospital","Bệnh viện Tâm thần Trung ương 2","Bệnh viện tâm thần"
"hospital","Trạm Y tế xã Nhà Bè","Trung tâm y tế"
"hospital","BỆNH VIỆN ĐA KHOA TÂM TRÍ SÀI GÒN","Bệnh viện đa khoa"
"hospital","Bệnh Viện Đa Khoa Tân Bình","Bệnh viện"
"hospital","Trạm Y Tế Xã Phong Phú Huyện Bình Chánh","Bệnh viện"
"hospital","Trung Tâm Y Tế Huyện Trảng Bom","Bệnh viện"
"hospital","Trạm y tế phường Tân Mỹ","Trung tâm y tế"
"hospital","Phòng Khám Đa Khoa Bình An","Bệnh viện"
"hospital","Bệnh Viện Thú Y","Bệnh viện thú y"
"hospital","Trung Tâm Y Tế Huyện Bến Lức","Trung tâm y tế"
"hospital","Trạm Y Tế Phường Tân Định","Trung tâm y tế"
"hospital","Trạm Y Tế Phường Tân Phú","Bệnh viện đa khoa"
"hospital","Trạm Y Tế Phường Bình Chiểu TP. Thủ Đức","Trung tâm y tế"
"hospital","Trạm Y Tế Phường Tân Bình","Trung tâm y tế"
"hospital","Trung tâm Sức khỏe Doanh nghiệp - Đa Khoa Quốc Tế Sài Gòn","Bệnh viện"
"hospital","Trung Tâm Bảo Vệ Sức Khỏe Bà Mẹ, Trẻ Em - Kế Hoạch Hoá Gia Đình","Bệnh viện đa khoa"
"hospital","Bệnh Viện Thú Y Trường Đại Học Nông Lâm TP. HCM","Bệnh viện thú y"
"hospital","Bệnh viện Quân Dân Y Miền Đông","Bệnh viện quân đội"
"hospital","Trạm Y tế phường Thủ Dầu Một","Bệnh viện"
"hospital","Trung Tâm Y Tế Huyện Phú Giáo","Bệnh viện"
"hospital","Trung tâm Y tế TP.Long Xuyên","Trung tâm y tế"
"hospital","Bệnh Viện Y Học Cổ Truyền Cơ Sở 2","Bệnh viện"
"hospital","Bệnh viện Đa khoa Lê Văn Việt","Bệnh viện đa khoa"
"hospital","Bệnh viện Đa khoa Trung Mỹ Tây","Bệnh viện"
"hospital","Trạm Y tế Phường Bình Quới","Trung tâm y tế"
"hospital","Trạm Y tế xã Tân Nhựt","Trạm y tế tự phục vụ"
"hospital","Bệnh viện Thống Nhất","Bệnh viện đa khoa"
"hospital","Trạm y tế phường Thới An","Trung tâm y tế"
"hospital","Phòng khám chuyên khoa HIV/AIDS thuộc Trung tâm Kiểm soát bệnh tật tỉnh Đồng Nai","Bệnh viện chuyên khoa"
"hospital","Trạm Y Tế Phường 16 Quận Gò Vấp","Trung tâm y tế"
"hospital","Trung tâm Y tế Trảng Bàng","Trung tâm y tế"
"hospital","Shing Mark Hospital","Bệnh viện"
"hospital","Trung tâm Pháp y Tâm thần Khu vực TP. Hồ Chí Minh","Bệnh viện chuyên khoa"
"hospital","Trung Tâm Y Tế Dự Phòng Quận 5 - Cs 2","Trung tâm y tế"
"hospital","Trạm Y Tế Phường Hiệp Thành","Trung tâm y tế"
"hospital","Bệnh viện Đa khoa Tân Định","Bệnh viện"
"hospital","Trạm Y tế Phường Bình Hưng Hoà","Trung tâm y tế"
"hospital","Phòng Khám Đa Khoa Nhơn Tâm","Phòng khám"
"hospital","Bệnh Viện Đa Khoa Quốc Tế Nam Sài Gòn","Bệnh viện đa khoa"
"hospital","Bệnh viện Đa khoa Quốc tế Vinmec Central Park","Bệnh viện đa khoa"
"hospital","Phòng khám quốc tế Victoria Healthcare","Phòng khám"
"hospital","Bệnh viện Đa Khoa Thuận An","Bệnh viện"
"hospital","Bệnh viện Tân Định - Cơ sở 2","Bệnh viện"
"hospital","Bệnh viện Đại học Y Tân Tạo","Bệnh viện đại học"
"hospital","Bệnh viện Y Học Cổ Truyền TP.HCM","Bệnh viện"
"hospital","Trạm Y Tế Phường 6 Quận 8","Trung tâm y tế"
"hospital","Bệnh viện Hoàn Mỹ Đồng Nai","Bệnh viện tư nhân"
"hospital","Bệnh viện Lê Văn Thịnh","Bệnh viện đa khoa"
"hospital","Bệnh Viện Đa Khoa Hồng Ngọc","Bệnh viện đa khoa"
"hospital","Bệnh viện Quân Y 354","Bệnh viện quân đội"
"hospital","Bệnh Viện Đa Khoa Hòe Nhai","Bệnh viện đa khoa"
"hospital","Bệnh viện Quốc tế Thăng Long Lạc Việt","Bệnh viện đa khoa"
"hospital","TCI Hospital - Bệnh Viện Đa Khoa Quốc Tế Thu Cúc","Bệnh viện đa khoa"
"hospital","Bệnh viện Đa khoa Tràng An","Bệnh viện đa khoa"
"hospital","Bệnh viện Hữu Nghị Việt Nam - Cuba","Bệnh viện đa khoa"
"hospital","Bệnh viện Đa Khoa Xanh Pôn","Bệnh viện đa khoa"
"hospital","Bệnh viện Đa khoa Hồng Hà","Bệnh viện đa khoa"
"hospital","Bệnh Viện Đa khoa Hà Nội - Hanoi Hospital","Bệnh viện đa khoa"
"hospital","Bệnh viện Đại học Y Hà Nội","Bệnh viện đại học"
"hospital","Bệnh viện Đa khoa MEDLATEC","Bệnh viện đa khoa"
"hospital","Bệnh viện Đa khoa Hòe Nhai 2","Bệnh viện đa khoa"
"hospital","Bệnh viện Đa khoa Đức Giang","Bệnh viện đa khoa"
"hospital","Bệnh viện Đa khoa Quốc tế Vinmec Times City","Bệnh viện đa khoa"
"hospital","Trung Tâm Cấp Cứu Bệnh viện Đa khoa Xanh Pôn","Bệnh viện đa khoa"
"hospital","Phòng khám Đa khoa Bệnh viện Hà Thành","Bệnh viện đa khoa"
"hospital","Bệnh viện Thanh Nhàn","Bệnh viện đa khoa"
"hospital","Phòng Khám Đa Khoa Trần Duy Hưng","Bệnh viện đa khoa"
"hospital","Bệnh Viện Đa khoa Quốc Tế TIMES","Bệnh viện đa khoa"
"hospital","Bệnh Viện Đa Khoa Quốc Tế Bắc Hà","Bệnh viện đa khoa"
"hospital","Bệnh Viện Đa Khoa Quốc Tế Thiên Đức","Bệnh viện đa khoa"
"hospital","Bệnh viện Đa khoa Đan Phượng","Bệnh viện đa khoa"
"hospital","XƯƠNG KHỚP - CỘT SỐNG VIỆT XÔ","Bệnh viện đa khoa"
"hospital","Bệnh Viện Đa Khoa Tâm Anh","Bệnh viện đa khoa"
"hospital","Bệnh viện Đa khoa Nông Nghiệp","Bệnh viện đa khoa"
"hospital","Bệnh Viện Đa Khoa Nông Nghiệp 1","Bệnh viện đa khoa"
"hospital","Khoa Vi sinh BVĐK Đức Giang","Bệnh viện đa khoa"
"hospital","Bệnh viện Đa khoa Hồng Phúc","Bệnh viện đa khoa"
"hospital","Bệnh viện Đa khoa Phúc Yên","Bệnh viện đa khoa"
"hospital","Bệnh viện thú y TiuPet","Bệnh viện thú y"
"hospital","Bệnh viện Đa khoa Đông Anh","Bệnh viện đa khoa"
"hospital","Bệnh viện Đa khoa Gia Lâm","Bệnh viện đa khoa"
"hospital","Bệnh viện Bệnh Nhiệt đới Trung ương","Bệnh viện đa khoa"
"hospital","Bệnh Viện Đa Khoa Sơn Tây","Bệnh viện đa khoa"
"hospital","Trung Tâm Kiểm Soát Bệnh Tật Hà Nội","Dịch vụ y tế địa phương"
"hospital","Trung tâm y tế quận Cầu Giấy - Khu vực Yên Hòa","Phòng khám"
"hospital","Trạm y tế phường Giãng Võ","Trung tâm y tế"
"hospital","Trung Tâm Y Tế Ba Đình - Phòng Khám Bệnh Lao & Bệnh Phổi","Bệnh viện"
"hospital","Phòng y tế quận Cầu Giấy","Trung tâm y tế"
"hospital","Trung tâm y tế môi trường","Bệnh viện"
"hospital","Khoa Ngoại tổng hợp_Bệnh viện Bắc thăng long","Bệnh viện đa khoa"
"hospital","Trung Tâm Y Tế Dự Phòng Quận Hoàn Kiếm","Trung tâm y tế"
"hospital","Bệnh Viện Đa Khoa Hoài Đức","Bệnh viện đa khoa"
"hospital","Y Học Quốc Tế","Trung tâm y tế"
"hospital","Trung tâm Tế bào gốc - Bệnh viện Nhi Trung ương","Trung tâm y tế"
"hospital","Hội đồng Giám định Y khoa - Cục y tế giao thông vận tải","Trung tâm y tế"
"hospital","Phòng Khám Đa Khoa Y Học Quốc Tế","Dịch vụ y tế địa phương"
"hospital","Trung tâm bác sĩ gia đình Duy Anh","Trung tâm y tế"
"hospital","Trung tâm Dịch vụ Nam Y","Trung tâm y tế"
"hospital","Trung Tâm Y Tế Dự Phòng Quận ...","Dịch vụ y tế địa phương"
"hospital","Trung Tâm Y Tế Quân Dân Y","Bệnh viện"
"hospital","Viện Kinh tế và Công nghệ Y tế","Trung tâm y tế công cộng"
"hospital","Trạm Y Tế Phường Dịch Vọng","Trung tâm y tế"
"hospital","Phòng Y Tế Quận Đống Đa","Trung tâm y tế"
"hospital","Trung Tâm Y Tế Lao Động","Dịch vụ y tế địa phương"
"hospital","Trạm Y Tế Phường Láng Hạ 122 đường láng","Trung tâm y tế"
"hospital","Trạm Y Tế Phường Thụy Khuê","Trung tâm y tế"
"hospital","Trung Tâm Y Tế Hàng Hải","Bệnh viện"
"hospital","Trung Tâm Ứng Dụng Công Nghệ Thông Tin Y Tế","Cơ sở điều dưỡng"
"hospital","Trung tâm y tế","Trung tâm chăm sóc sức khỏe"
"hospital","Trung Tâm Y Tế Phường Hàng Gai","Bệnh viện"
"hospital","Dr Trang Pi","Trung tâm y tế cộng đồng"
"hospital","Trung tâm công nghệ Y-Sinh học, Phòng khám đa khoa","Trung tâm y tế"
"hospital","Phòng Khám Bác Sĩ Gia Đình - Trung Tâm Y Khoa Gia Đình Hà Nội","Bác sĩ đa khoa"
"hospital","VHN Care Tràng An Trung Tâm Tiêm Chủng","Trung tâm y tế"
"hospital","Trung tâm Quốc tế - Bệnh viện Nhi Trung ương","Khoa của bệnh viện"
"hospital","Trung Tâm Sức Khỏe & Tiêu Thụ Thực Phẩm Chức Năng Tâm Não Khang","Trung tâm y tế"
"hospital","Trạm Y Tế Phường Thành Công","Phòng khám"
"hospital","Trạm Y tế phường Ba Đình","Trung tâm y tế"
"hospital","Trung Tâm Y Tế Quận Hoàn Kiếm 36","Bệnh viện"
"hospital","Trạm y tế phường Quang Trung","Dịch vụ y tế địa phương"
"hospital","Điểm Y Tế Quán Thánh","Dịch vụ y tế địa phương"
"hospital","Med - Center Medical Clinic","Phòng khám miễn phí"
"hospital","Phòng Y Tế","Sở y tế công cộng"
"hospital","Trung tâm y tế phường Phan Chu Trinh","Trung tâm y tế"
"hospital","Trạm Y Tế Phường Trung Tự","Trung tâm y tế"
"hospital","Trạm y tế phường Trúc Bạch","Trung tâm y tế"
"hospital","Trạm Y Tế Phường Hàng Bạc","Trung tâm y tế"
"hospital","Công Ty TNHH Trang Thiết Bị Y Tế DND","Trung tâm y tế"
"hospital","Điểm Y tế Trần Hưng Đạo - Trạm Y tế phường Cửa Nam - TP Hà Nội","Trung tâm y tế"
"hospital","Trạm Y Tế Phường Thanh Xuân Trung","Trung tâm y tế"
"hospital","Bảo Hiểm Xã Hội Đống Đa","Trung tâm y tế"
"hospital","Trung Tâm Cấp Cứu 115 Hà Nội","Trung tâm y tế"
"hospital","Trạm Y Tế Phường Hàng Trống","Trung tâm y tế"
"hospital","Trung tâm y tế cơ quan công ty tnhh 1 tv MTDT Hà Nội","Phòng mạch y tế"
"hospital","Trạm y tế phường Ngọc Hà","Trạm sơ cứu"
"hospital","Trạm Y tế phường Ô Chợ Dừa","Trạm sơ cứu"
"hospital","Dong Da District Medical Center","Phòng khám"
"hospital","Trạm Y Tế Phường Thụy Khuê","Dịch vụ y tế địa phương"
"hospital","Trạm Y Tế Phường Thổ Quan","Trung tâm y tế công cộng"
"hospital","Trạm Y Tế Phường Hàng Bông","Trung tâm y tế"
"hospital","Trung Tâm Xương Khớp Thời Đại Xanh","Trung tâm y tế"
"hospital","Herblux Việt Nam","Trung tâm y tế"
"hospital","Thanh tra Bộ Y Tế","Sở y tế công cộng"
"hospital","Bệnh viện Phổi Trung ương","Bệnh viện chuyên khoa"
"hospital","Đông Phương Y Pháp - Trung Tâm Vật Lý Trị Liệu & Phục Hồi Chức Năng","Trung tâm y tế công cộng"
"hospital","Trung tâm y tế Bách Khoa","Trung tâm y tế"
"hospital","Cục Quản Lý Khám Chữa Bệnh Bộ Y Tế","Dịch vụ y tế địa phương"
"hospital","Trạm y tế phường Hàng Bột","Trạm sơ cứu"
"hospital","Center for Community Health and Injury Prevention","Trung tâm y tế cộng đồng"
"hospital","Phòng khám Đa khoa MEDLATEC Tây Hồ","Phòng khám"
"hospital","Trạm Y Tế phường Phúc Xá","Trung tâm y tế"
"hospital","Trạm Y Tế Phường Đội Cấn","Trạm sơ cứu"
"hospital","Trung tâm y tế phường Cổ Nhuế 1","Trung tâm y tế"
"hospital","Thẩm mỹ răng sứ Alisa Giảng Võ, Đống Đa, Hà Nội","Trung tâm y tế"
"hospital","Cty TNHH dược phẩm thiện nhân","Trung tâm y tế"
"hospital","Trạm Y Tế Phường Cát Linh","Trung tâm y tế"
"hospital","Bệnh viện Tim Hà Nội","Bệnh viện tim"
"hospital","Trung tâm Văn hóa - Thể thao phường Yên Phụ","Trung tâm cộng đồng"
"hospital","Bệnh viện Đa khoa Bảo Sơn 2","Bệnh viện"
"hospital","Cửa Hàng Thiết Bị Y Tế Trường Sơn","Dịch vụ y tế địa phương"
"hospital","Phòng Khám Mỹ Việt -","Phòng khám"
"hospital","Phòng khám Đa khoa Vietclinic","Chăm sóc sức khỏe"
"hospital","PHÒNG KHÁM HIẾU LÊ, Phòng Khám Sản Phụ Khoa chất lượng tốt nhất , Phòng khám hiếm muộn uy tín nhất Hà Nội","Phòng khám sức khỏe sinh sản"
"hospital","Phòng khám Tai Mũi Họng PGS Trần Anh (ENT Clinic)","Phòng khám tai mũi họng"
"hospital","Phòng khám Đa khoa Quốc tế Hamilton","Phòng khám"
"hospital","Phòng Khám Đa Khoa Y Học Quốc Tế Kim Mã","Phòng khám bệnh lây truyền qua đường tình dục"
"hospital","Phòng Khám Sản Phụ Khoa Hoàng Cầu - bác sĩ sản phụ khoa giỏi, uy tín tại Hà Nội","Phòng khám phụ khoa"
"hospital","Phòng khám đa khoa Vĩnh Hà","Bệnh viện"
"hospital","Phòng Khám Bệnh Đa Khoa","Bệnh viện"
"hospital","PHÒNG KHÁM SẢN PHỤ KHOA CHUYÊN NGHIỆP- 43 NGUYỄN KHANG CẦU GIẤY (PHÒNG KHÁM BÁC SĨ VĨ)","Trung tâm chăm sóc thai sản"
"hospital","Phòng Khám Minh Đức","Phòng khám"
"hospital","Phòng khám chuyên khoa Yên Hoà","Dịch vụ sức khỏe tâm thần"
"hospital","Phòng Khám Nhi - Bs Nguyễn Văn Thường","Phòng khám"
"hospital","Phòng khám Phụ Sản Vạn Vạn Phúc","Phòng khám"
"hospital","Phòng khám trĩ tốt ở Hà Nội","Phòng khám chuyên khoa"
"hospital","PHÒNG KHÁM DA LIỄU LAN PHẠM","Bác sĩ da liễu"
"hospital","Phòng Khám Tư Nhân Chuyên Khoa Phụ Sản","Phòng khám phụ khoa"
"hospital","Phòng khám tai mũi họng bác sỹ Nguyễn Ngọc Phấn, BsTMH Bv ĐHY Hà Nội","Bác sĩ chuyên khoa tai mũi họng"
"hospital","Phòng khám đông y Hồng Minh","Dịch vụ y tế địa phương"
"hospital","Phòng khám Đa khoa Cầu Giấy","Phòng khám"
"hospital","Phòng khám Đa Khoa 589","Phòng khám"
"hospital","Phòng khám chuyên khoa Sản phụ khoa 434 Đội Cấn","Phòng khám"
"hospital","Phòng Khám Phụ Sản An Bình","Bác sĩ khoa sản-Bác sĩ phụ khoa"
"hospital","Phòng Khám Chuyên Khoa Sản 32 Vạn Bảo","Phòng khám"
"hospital","Phòng Khám Đa Khoa Quận Tây Hồ","Phòng khám"
"hospital","Phòng khám đa khoa Thái Hà","Phòng khám"
"hospital","Phòng khám chuyên khoa Tai Mũi Họng Giáo sư Lê Minh Kỳ - Tiến sĩ Nguyễn Thị Tố Uyên","Phòng khám tai mũi họng"
"hospital","Phòng Khám Y Cao","Phòng khám"
"hospital","Phòng Khám Chuyên Khoa Da Liễu La Hues","Phòng khám chuyên khoa"
"hospital","Phòng Khám Sản Phụ Khoa Tâm Đức","Phòng khám phụ khoa"
